product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,cancel_rate,delivery_ontime,rebuy_rate
312865,0,가구,입식화장대,159000.0,358,37,221,213,41073000,319.0,67.0,197.0,213,8,,,,,,,0.09367088607594937,0.2537878787878788,0.03755868544600939
823941,0,패브릭,러그/카페트,39000.0,270,47,263,260,19307000,230.0,80.0,145.0,260,3,,,,,,,0.14826498422712933,0.35555555555555557,0.011538461538461539
3492192,0,패브릭,러그/카페트,42900.0,278,13,278,276,21568900,263.0,256.0,2.0,276,2,,,,,,,0.044673539518900345,0.9922480620155039,0.007246376811594203
1817970,0,패브릭,러그/카페트,28900.0,1031,52,1017,991,55744200,975.0,965.0,2.0,991,22,,,,,,,0.04801477377654663,0.9979317476732161,0.022199798183652877
3967913,0,패브릭,러그/카페트,42900.0,1280,86,1278,1249,94764500,1187.0,892.0,281.0,1249,28,,,,,,,0.0629575402635432,0.7604433077578857,0.02241793434747798
3121605,1,가구,독립스프링매트리스,890000.0,334,63,244,215,306495000,,,,215,25,,,,,,,0.15869017632241814,,0.11627906976744186
1403437,0,패브릭,패드/스프레드,39900.0,891,22,780,769,41459600,866.0,835.0,0.0,769,11,,,,,,,0.024096385542168676,1.0,0.014304291287386216
3698323,0,패브릭,베개/베개솜,23500.0,333,23,206,200,7003400,310.0,275.0,17.0,200,6,,,,,,,0.06460674157303371,0.9417808219178082,0.03
1745253,0,생활용품,수건/타월,31900.0,571,6,480,442,18705600,563.0,536.0,25.0,442,27,,,,,,,0.010398613518197574,0.9554367201426025,0.06108597285067873
3248122,0,패브릭,베개/베개솜,12900.0,777,25,625,611,11096400,746.0,732.0,0.0,611,13,0.6420164009352517,0.6353867114455056,0.0715833733076899,0.8241790320549115,0.6729322724921344,89.0,0.03117206982543641,1.0,0.02127659574468085
1897269,0,가구,입식화장대,139000.0,675,46,674,659,100384000,,,,659,12,,,,,,,0.0638002773925104,,0.018209408194233688
1646028,0,패브릭,러그/카페트,31900.0,368,18,364,352,24047800,345.0,342.0,3.0,352,11,,,,,,,0.046632124352331605,0.991304347826087,0.03125
3289773,0,패브릭,러그/카페트,42900.0,1467,70,1461,1435,117045900,1391.0,1370.0,12.0,1435,26,,,,,,,0.04554326610279766,0.9913169319826338,0.018118466898954706
2399624,0,패브릭,패드/스프레드,34900.0,475,13,387,370,28898400,455.0,446.0,5.0,370,17,,,,,,,0.02663934426229508,0.9889135254988913,0.04594594594594595
1184794,0,패브릭,패드/스프레드,41900.0,340,8,315,298,20009200,331.0,330.0,1.0,298,17,,,,,,,0.022988505747126436,0.9969788519637462,0.05704697986577181
3127541,0,가구,일반의자/인테리어의자,129000.0,458,36,405,391,59659700,416.0,399.0,7.0,391,10,,,,,,,0.0728744939271255,0.9827586206896551,0.02557544757033248
1095814,0,패브릭,베개/베개솜,19900.0,252,7,245,239,6917900,244.0,243.0,0.0,239,6,,,,,,,0.02702702702702703,1.0,0.02510460251046025
363724,0,패브릭,베개/베개솜,21900.0,612,13,503,489,15425400,603.0,595.0,0.0,489,12,,,,,,,0.0208,1.0,0.024539877300613498
3860698,0,패브릭,러그/카페트,42900.0,386,15,386,384,29817400,371.0,368.0,0.0,384,2,,,,,,,0.03740648379052369,1.0,0.005208333333333333
3139978,0,패브릭,러그/카페트,36900.0,328,21,326,324,19596300,308.0,305.0,2.0,324,2,,,,,,,0.06017191977077364,0.993485342019544,0.006172839506172839
2731307,0,패브릭,이불/이불커버,54900.0,2198,131,1610,1553,210120200,2052.0,1979.0,63.0,1553,54,,,,,,,0.056247316444826105,0.9691478942213516,0.03477141017385705
3559876,0,패브릭,이불/이불커버,69800.0,1394,50,851,809,118202900,1341.0,1325.0,0.0,809,37,,,,,,,0.03462603878116344,1.0,0.04573547589616811
2811980,0,패브릭,이불/이불커버,42900.0,1020,25,684,660,67704800,990.0,958.0,14.0,660,24,,,,,,,0.023923444976076555,0.98559670781893,0.03636363636363636
2636441,0,패브릭,이불/이불커버,29900.0,13090,491,9754,9298,595445300,12579.0,12337.0,198.0,9298,402,1.0,0.8559836949753076,0.0405124754036519,1.0,1.0,89.0,0.03615344967233635,0.9842042281611488,0.04323510432351043
2663584,0,가구,독립스프링매트리스,262200.0,338,23,274,266,114731580,315.0,256.0,53.0,266,7,,,,,,,0.06371191135734072,0.8284789644012945,0.02631578947368421
2646363,0,가구,독립스프링매트리스,439000.0,381,31,313,294,184709130,351.0,251.0,98.0,294,15,,,,,,,0.07524271844660194,0.7191977077363897,0.05102040816326531
871866,0,패브릭,패드/스프레드,27930.0,3531,81,2812,2660,121995030,3444.0,3385.0,40.0,2660,137,,,,,,,0.022425249169435217,0.9883211678832117,0.05150375939849624
3657013,0,패브릭,러그/카페트,39000.0,509,21,490,483,21909000,486.0,437.0,44.0,483,7,,,,,,,0.03962264150943396,0.9085239085239085,0.014492753623188406
2699366,0,패브릭,러그/카페트,36900.0,1446,111,1442,1412,79856000,1339.0,1335.0,2.0,1412,28,,,,,,,0.07129094412331406,0.9985041136873598,0.019830028328611898
1502239,0,가구,일반소파,472900.0,533,80,440,427,234043200,457.0,82.0,281.0,427,11,,,,,,,0.13050570962479607,0.22589531680440772,0.02576112412177986
316468,0,생활용품,욕실잡화,13900.0,2376,34,2192,2145,31279600,2342.0,2315.0,8.0,2145,38,,,,,,,0.014107883817427386,0.9965561773568661,0.017715617715617717
3457846,0,패브릭,베개/베개솜,7900.0,220,2,200,193,3017800,217.0,213.0,0.0,193,6,,,,,,,0.009009009009009009,1.0,0.031088082901554404
3626915,0,가구,일반소파,399000.0,305,32,286,273,124394000,274.0,128.0,137.0,273,9,,,,,,,0.09495548961424333,0.4830188679245283,0.03296703296703297
3351184,0,가구,일반소파,369000.0,255,26,254,248,100553000,230.0,199.0,15.0,248,6,,,,,,,0.09252669039145907,0.9299065420560748,0.024193548387096774
410062,0,패브릭,베개/베개솜,8900.0,310,5,281,271,3867800,304.0,300.0,2.0,271,9,,,,,,,0.015873015873015872,0.9933774834437086,0.033210332103321034
1923373,0,가구,식탁/테이블,129000.0,476,52,399,395,60805000,429.0,314.0,86.0,395,4,,,,,,,0.09848484848484848,0.785,0.010126582278481013
3145782,0,가구,식탁/테이블,247000.0,973,96,574,550,248106800,882.0,833.0,0.0,550,23,,,,,,,0.08980355472404115,1.0,0.04181818181818182
2890647,0,가구,식탁/테이블,138900.0,286,22,230,225,40566100,263.0,209.0,18.0,225,5,,,,,,,0.07142857142857142,0.920704845814978,0.022222222222222223
2209275,0,생활용품,수건/타월,29000.0,2710,53,2407,2341,148351000,2656.0,2633.0,5.0,2341,65,,,,,,,0.01918204849800941,0.9981046247156937,0.027765912003417343
3325301,0,가구,수납침대,199000.0,681,77,473,455,137378400,,,,455,16,,,,,,,0.10158311345646438,,0.035164835164835165
3953680,0,가구,수납침대,199000.0,907,257,405,391,184922000,650.0,81.0,344.0,391,14,,,,,,,0.22079037800687284,0.19058823529411764,0.03580562659846547
1030323,0,가구,전신거울,69000.0,649,39,648,637,49178000,,,,637,10,,,,,,,0.056686046511627904,,0.015698587127158554
3353709,0,가구,수납침대,349000.0,462,80,291,256,206688700,393.0,50.0,249.0,256,29,,,,,,,0.14760147601476015,0.16722408026755853,0.11328125
