variable,label,higher_better,pb_n,p3_n,pb_mean,pb_median,p3_mean,p3_median,mwu_p,cohen_d,auc,pb_favor,abs_d
rebuy_rate,재구매율,True,30,756,0.05796242464190648,0.04859523773482084,0.035384297849302096,0.03062553734726311,5.494344892959276e-07,0.9526446473263949,0.7693342151675484,PB 우수,0.9526446473263949
delivery_ontime,배송정시율,True,13,685,0.9773109566991958,0.9949479002210294,0.8249002839358034,0.9566929133858267,0.05012637862567353,0.620848097196442,0.6578326782706345,PB 우수,0.620848097196442
cancel_rate,취소율,False,30,756,0.09244303657110464,0.10809876989529141,0.06559238131238945,0.0583041958041958,0.0013537994569549116,0.6375314150121411,0.32766754850088187,3P 우수,0.6375314150121411
