product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,cancel_rate,delivery_ontime,rebuy_rate
4033595,1,생활용품,욕실잡화,12900.0,95,1,94,93,1277100,94,94,0,93,1,,,,,,,0.010416666666666666,1.0,0.010752688172043012
3764904,1,패브릭,담요,15900.0,323,17,298,286,7555800,307,307,0,286,12,0.6499389130483798,0.6058264329322955,0.0374108209704964,0.9075157717720246,0.8139026821997459,89.0,0.05,1.0,0.04195804195804196
3752130,1,가구,입식화장대,430000.0,206,34,121,108,57840000,0,0,0,108,12,0.3497116963346737,0.6283910367639117,0.0136305003829238,0.817832777145834,0.452763435252419,89.0,0.14166666666666666,,0.1111111111111111
2957725,1,가구,입식화장대,129900.0,220,30,109,102,24287200,0,0,0,102,5,0.5455024161600284,0.6181965727184906,0.00736670816981,0.9562426494298628,0.4632618207614684,89.0,0.12,,0.049019607843137254
2591870,1,가구,책장/책꽂이,69000.0,341,45,338,319,50117000,0,0,0,319,17,0.7263554263582207,0.6414063228678104,0.014261181989299,1.0,0.6693969556317568,89.0,0.11658031088082901,,0.05329153605015674
3652512,1,가구,책장/책꽂이,129000.0,71,9,45,45,8954000,0,0,0,45,0,0.3495340820281051,0.5415085702528151,0.0051474246044983,0.9658508374406582,0.6639340717275539,89.0,0.1125,,0.0
3687421,1,가구,책장/책꽂이,139000.0,44,7,44,40,9975900,0,0,0,40,4,0.2822622600863478,0.5175686329696005,0.0102872947571925,0.7174651088473453,0.2756882384346352,89.0,0.13725490196078433,,0.1
2086290,1,가구,책장/책꽂이,119900.0,29,5,27,26,3587100,0,0,0,26,1,0.5030939925302931,0.2927414717099226,0.0121116229966542,0.7978987232458579,0.3627936588066042,87.0,0.14705882352941177,,0.038461538461538464
3640320,1,패브릭,베개/베개솜,9900.0,882,47,613,585,13821200,831,815,4,585,26,0.7325757554005168,0.6654335308696784,0.0369367367711946,0.9693109468694716,0.8951663393924904,89.0,0.05059203444564048,0.9951159951159951,0.044444444444444446
3918631,1,패브릭,베개/베개솜,9900.0,319,12,295,286,4967100,306,302,1,286,9,0.3416425919707337,0.5823475050469108,0.0409516668342246,0.6939526768143145,0.4543556329407935,85.0,0.03625377643504532,0.9966996699669967,0.03146853146853147
3640153,1,패브릭,베개/베개솜,12900.0,222,3,163,159,4313800,217,217,0,159,4,0.5309509553450814,0.565749287810624,0.0201843459945538,0.7698941740201269,0.5976755512410523,89.0,0.013333333333333334,1.0,0.025157232704402517
1089824,1,가구,본넬스프링매트리스,109000.0,1615,155,1246,1187,270277600,0,0,0,1187,51,0.9834960582507992,0.7423046173253424,0.0204157659410178,1.0,0.884623392263603,89.0,0.08757062146892655,,0.04296545914069082
3395897,1,가구,사이드테이블,350000.0,58,11,58,54,20300000,0,0,0,54,4,0.4745030521494523,0.5552333068867614,0.0054445502010742,0.9325680320777672,0.7026297531571329,89.0,0.15942028985507245,,0.07407407407407407
3395883,1,가구,사이드테이블,250000.0,22,3,22,22,5500000,0,0,0,22,0,0.417553095914224,0.4931602925085853,0.0037858418148682,0.8658877090756647,0.561113603996778,89.0,0.12,,0.0
3164222,1,가구,사이드테이블,190000.0,21,1,21,20,3990000,0,0,0,20,1,0.4615967900800929,0.4863571324643049,0.0035738910017243,0.8756725397496692,0.7132971708724637,89.0,0.045454545454545456,,0.05
3920046,1,생활용품,수건/타월,25900.0,3256,57,2485,2402,137878400,3194,3151,16,2402,79,0.651340990549211,0.7517245571370268,0.0393716468862303,0.9062214184130706,0.8466249679785441,89.0,0.017204950196196802,0.9949479002210294,0.03288925895087427
1243313,1,가구,수납침대,259000.0,2163,355,1709,1551,554887900,0,0,0,1551,132,0.9776883841921236,0.775296643205772,0.0177969157662479,1.0,0.87620035165633,89.0,0.1409849086576648,,0.0851063829787234
3858646,1,가구,수납침대,279000.0,508,68,355,324,177652360,0,0,0,324,27,0.4390767693552615,0.7007359019556307,0.0039335307868565,0.8911116782623869,0.5356279693026853,89.0,0.11805555555555555,,0.08333333333333333
3748221,1,가구,수납침대,670000.0,548,110,259,232,305524500,0,0,0,232,24,0.4309338727183572,0.7104963337421871,0.0047102893047081,0.9540432501264348,0.5834551582930597,89.0,0.16717325227963525,,0.10344827586206896
3652507,1,가구,수납침대,239000.0,296,48,180,171,79050820,0,0,0,171,8,0.5115583943953252,0.6561363280520568,0.0069760738278009,0.9397208344957152,0.554602974855199,89.0,0.13953488372093023,,0.04678362573099415
3898593,1,가구,수납침대,720000.0,312,67,141,121,186374900,0,0,0,121,15,0.2500637275573586,0.6861672407229975,0.0033008271742363,0.8532779008204856,0.3704459573324408,78.0,0.17678100263852242,,0.12396694214876033
3865828,1,가구,수납침대,1248000.0,74,9,39,36,73875500,0,0,0,36,3,0.2179549059871713,0.5881421712736521,0.0070684347774307,0.6082647463852607,0.2593462246760878,89.0,0.10843373493975904,,0.08333333333333333
4012257,1,패브릭,홈웨어,24900.0,248,6,179,165,6349500,240,227,1,165,12,,,,,,,0.023622047244094488,0.9956140350877193,0.07272727272727272
3607491,1,가구,독립스프링매트리스,309000.0,623,76,432,401,174565400,0,0,0,401,27,0.5929653876934196,0.7040234581424238,0.0214436451146744,0.870748028623207,0.6823415035850307,89.0,0.10872675250357654,,0.06733167082294264
3121605,1,가구,독립스프링매트리스,890000.0,334,63,244,215,306495000,0,0,0,215,25,0.5990963383286959,0.6852716225393395,0.0067711762341408,0.8455285875477677,0.6220663564490595,89.0,0.15869017632241814,,0.11627906976744186
3640060,1,패브릭,매트/침대커버,15900.0,565,8,512,503,12317100,556,545,4,503,9,0.6532921049899353,0.6284712569566718,0.0467399922434599,0.8879231914832929,0.7152574030701446,89.0,0.013961605584642234,0.9927140255009107,0.017892644135188866
3640383,1,패브릭,매트/침대커버,29900.0,303,20,251,244,11424500,282,278,1,244,7,0.5956309030062894,0.6225486152262217,0.0214672937098187,0.9389800780581316,0.7372282422148977,89.0,0.06191950464396285,0.996415770609319,0.028688524590163935
3640210,1,패브릭,매트/침대커버,49900.0,148,7,107,101,9416800,142,141,1,101,5,0.4521499611768288,0.5794750855132429,0.0326160831332088,0.7316568713516712,0.5199544572475523,89.0,0.04516129032258064,0.9929577464788732,0.04950495049504951
3955208,1,가구,일반소파,590000.0,104,22,83,66,110123000,0,0,0,66,14,0.3014763408469229,0.6239191281778801,0.0019260091785521,0.9359265252593078,0.4959844727024611,79.0,0.1746031746031746,,0.21212121212121213
3116283,1,가구,일반소파,1290000.0,102,28,74,63,105850000,0,0,0,63,9,0.481503688393585,0.6174151199629015,0.0030848840990739,0.938917231935024,0.6042216598537905,89.0,0.2153846153846154,,0.14285714285714285
3116271,1,가구,일반소파,1650000.0,72,25,53,45,94304000,0,0,0,45,7,0.4761288998861065,0.5870522521087101,0.0027228362816675,0.9201479220779484,0.6741817250902301,89.0,0.25773195876288657,,0.15555555555555556
3736091,1,가구,일반소파,1690000.0,62,24,44,37,81110000,0,0,0,37,5,0.288061540585331,0.5910328315308521,0.0016620510114143,0.9461885134839958,0.4608968327503933,89.0,0.27906976744186046,,0.13513513513513514
3270662,0,가구,책상서랍장,69900.0,190,15,190,186,14329500,0,0,0,186,2,0.5591774360725092,0.596432239271118,0.0239415128153311,0.9041091590254512,0.5377088180619841,89.0,0.07317073170731707,,0.010752688172043012
1262292,0,가구,책상서랍장,165000.0,179,7,175,172,28557000,170,156,13,172,3,0.6648784307355092,0.6087667675785476,0.011490655377268,0.9370478571660784,0.746390826121769,89.0,0.03763440860215054,0.9230769230769231,0.01744186046511628
746814,0,가구,책상서랍장,67000.0,159,8,157,155,13141000,151,95,46,155,2,0.5341983902001581,0.584609689623509,0.0193074043048142,0.7331893026011477,0.3837993547881188,89.0,0.04790419161676647,0.6737588652482269,0.012903225806451613
2197502,0,가구,책상서랍장,99900.0,135,36,135,126,14185800,0,0,0,126,7,0.6867742046543234,0.623975991591603,0.0284076351416376,0.9329679837012133,0.6123972523683007,77.0,0.21052631578947367,,0.05555555555555555
2324251,0,가구,책상서랍장,59800.0,82,17,82,79,5688800,66,21,44,79,2,0.5594872737022176,0.5472729707372987,0.0299722957367775,0.8029677018315536,0.4913055273865472,89.0,0.1717171717171717,0.3230769230769231,0.02531645569620253
3306923,0,가구,책상서랍장,149000.0,61,7,61,59,9238000,54,49,2,59,1,0.4793762588046462,0.5411764658013178,0.0287120196532377,0.7243932268555792,0.4537889779545526,89.0,0.10294117647058823,0.9607843137254902,0.01694915254237288
1343798,0,가구,책상서랍장,160000.0,54,3,54,53,8960000,51,44,3,53,1,0.5681694131456406,0.5371692378530593,0.0142472874883248,0.843837766916531,0.3675617046336825,89.0,0.05263157894736842,0.9361702127659575,0.018867924528301886
3026425,0,가구,침대부속가구,77000.0,151,17,150,147,12206400,134,25,94,147,2,0.579045873935024,0.5769542706537141,0.0267207105174028,0.8322871354677054,0.5508956177973264,89.0,0.10119047619047619,0.21008403361344538,0.013605442176870748
2714115,0,가구,침대부속가구,89000.0,63,6,63,61,9020000,56,31,17,61,2,0.4597330045582083,0.5451259301481584,0.0124457356450658,0.7550606316402386,0.512057916492869,89.0,0.08695652173913043,0.6458333333333334,0.03278688524590164
3764909,1,패브릭,커튼,29500.0,1037,74,784,744,42862380,950,921,23,744,36,0.5587933286106345,0.6785215375890106,0.0223358140690699,0.873641022618222,0.7488189824234209,89.0,0.0666066606660666,0.975635593220339,0.04838709677419355
