product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,sell_cnt_28_day,view_cnt_28_day,conversion_rate,review_cnt,scrap_cnt,card_tag_cnt,user_card_cnt,popularity,long_term_ranking_popularity,cancel_rate,delivery_ontime,rebuy_rate,ugc_per_buyer,review_per_buyer,scrap_per_view,conversion_rate_pop,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm,ugc_per_buyer_norm,review_per_buyer_norm,conversion_rate_pop_norm,scrap_per_view_norm,review_score_norm,sales_score_norm,spv_score_norm,wish_score_norm,card_score_norm
4033595,1,생활용품,욕실잡화,12900.0,95,1,94,93,1277100,94,94,0,93,1,,,,,,,95.0,1657.0,0.0,21.0,158.0,33.0,30.0,39655.0,0.0,0.010416666666666666,1.0,0.010752688172043012,0.3225806451612903,0.22580645161290322,0.09535304767652383,0.0,0.23341604631927218,1.0,0.7721027479091995,0.0017397837267089722,0.0,0.0,0.0,,,,,
3764904,1,패브릭,담요,15900.0,323,17,298,286,7555800,307,307,0,286,12,0.6499389130483798,0.6058264329322955,0.0374108209704964,0.9075157717720246,0.8139026821997459,89.0,16.0,1255.0,0.0,430.0,2125.0,315.0,230.0,10456.0,0.0,0.05,1.0,0.04195804195804196,0.8041958041958042,1.5034965034965035,1.6932270916334662,0.0,0.9090909090909091,1.0,0.6418746268656716,0.024052356637112717,0.030286205243054455,0.0,0.03369247312884288,0.50697053067608,0.49140694963287795,0.6908620880148608,0.7066256445719988,0.6906609802663418
3752130,1,가구,입식화장대,430000.0,206,34,121,108,57840000,0,0,0,108,12,0.3497116963346737,0.6283910367639117,0.0136305003829238,0.817832777145834,0.452763435252419,89.0,46.0,3445.0,0.0392156862745098,35.0,1229.0,33.0,22.0,1094662.0,0.0,0.14166666666666666,,0.1111111111111111,0.2037037037037037,0.32407407407407407,0.3567489114658926,0.0392156862745098,1.0,,0.5169815112540193,0.004513737239578852,0.001393072273846107,1.0,0.0,0.0,0.06277078288925345,0.24749268059486904,0.0,0.0
2957725,1,가구,입식화장대,129900.0,220,30,109,102,24287200,0,0,0,102,5,0.5455024161600284,0.6181965727184906,0.00736670816981,0.9562426494298628,0.4632618207614684,89.0,41.0,3640.0,0.0175438596491228,161.0,8982.0,88.0,77.0,297623.0,0.0,0.12,,0.049019607843137254,0.7549019607843137,1.5784313725490196,2.4675824175824177,0.0175438596491228,0.4058823529411764,,0.6079849946409432,0.04019247018183328,0.051895693223874384,0.44736842105263136,0.1345455617794376,0.302986450408731,0.0,0.0,0.7597956982350927,0.02230185406926322
2591870,1,가구,책장/책꽂이,69000.0,341,45,338,319,50117000,0,0,0,319,17,0.7263554263582207,0.6414063228678104,0.014261181989299,1.0,0.6693969556317568,89.0,130.0,10802.0,0.013029315960912,883.0,30271.0,522.0,437.0,698340.0,0.0,0.11658031088082901,,0.05329153605015674,1.3699059561128526,2.768025078369906,2.8023514164043695,0.013029315960912,0.5329153605015674,,0.3813931026326839,0.07274097952863832,0.10965648830090174,0.26275787187839217,0.1407425620676615,0.6338943250751637,0.8498835032823723,0.3430423387333706,1.0,0.5886634084394076
3652512,1,가구,책장/책꽂이,129000.0,71,9,45,45,8954000,0,0,0,45,0,0.3495340820281051,0.5415085702528151,0.0051474246044983,0.9658508374406582,0.6639340717275539,89.0,15.0,2005.0,0.0,30.0,3646.0,131.0,20.0,158385.0,0.0,0.1125,,0.0,0.4444444444444444,0.6666666666666666,1.8184538653366584,0.0,0.0,,0.40756588434019525,0.017837756785125204,0.01170989268622206,0.0,0.08257762254679916,0.09602315325933374,0.6063790270481975,0.0,0.8791329367497807,0.5804954413142428
3687421,1,가구,책장/책꽂이,139000.0,44,7,44,40,9975900,0,0,0,40,4,0.2822622600863478,0.5175686329696005,0.0102872947571925,0.7174651088473453,0.2756882384346352,89.0,16.0,1250.0,0.0,17.0,527.0,7.0,6.0,125122.0,0.0,0.13725490196078433,,0.1,0.15,0.425,0.4216,0.0,1.0,,0.2487778252600461,0.0003697705802968958,0.00044554713635381346,0.0,0.0,0.0,0.5480245422211474,0.1934650006051947,0.0,0.0
2086290,1,가구,책장/책꽂이,119900.0,29,5,27,26,3587100,0,0,0,26,1,0.5030939925302931,0.2927414717099226,0.0121116229966542,0.7978987232458579,0.3627936588066042,87.0,1.0,958.0,0.0,160.0,4227.0,98.0,87.0,0.0,0.0,0.14705882352941177,,0.038461538461538464,3.3461538461538463,6.153846153846154,4.412317327766179,0.0,0.38461538461538464,,0.18589146522830402,0.18998235233053046,0.26747328235962314,0.0,0.2359187008469369,0.3152130963146502,0.0,0.2621328177807953,0.2846855978402115,0.13023784186124074
3640320,1,패브릭,베개/베개솜,9900.0,882,47,613,585,13821200,831,815,4,585,26,0.7325757554005168,0.6654335308696784,0.0369367367711946,0.9693109468694716,0.8951663393924904,89.0,113.0,3380.0,0.0,733.0,4244.0,611.0,355.0,101176.0,0.0,0.05059203444564048,0.9951159951159951,0.044444444444444446,0.6068376068376068,1.252991452991453,1.2556213017751479,0.0,0.7052266020977495,0.9804008796256859,0.038470456170761724,0.03479876554808116,0.04240467907683472,0.0,0.0678344286887717,0.5938008119328472,0.4198041048460369,0.13884404424994398,0.8997244843997257,0.8078718173661006
3918631,1,패브릭,베개/베개솜,9900.0,319,12,295,286,4967100,306,302,1,286,9,0.3416425919707337,0.5823475050469108,0.0409516668342246,0.6939526768143145,0.4543556329407935,85.0,163.0,2777.0,0.0392156862745098,55.0,501.0,46.0,38.0,85461.0,0.0,0.03625377643504532,0.9966996699669967,0.03146853146853147,0.13286713286713286,0.19230769230769232,0.18041051494418436,0.0392156862745098,0.41635677640809104,0.9867560399450797,0.3554521912256583,0.0,0.0,0.23651960784313733,0.0,0.0,0.06990071364429697,0.17211983961337732,0.0,0.0
