variable,label,higher_better,pb_n,p3_n,pb_mean,pb_median,p3_mean,p3_median,mwu_p,cohen_d,auc,pb_favor,sig_5pct,sig_1pct,abs_d
rebuy_rate,재구매율,True,76,718,0.0706,0.0565,0.0352,0.0309,0.0,1.293,0.756,PB,O,O,1.293
delivery_ontime,배송정시율,True,21,654,0.9833,0.9949,0.8234,0.9515,0.003505,0.661,0.686,PB,O,O,0.661
wish_score,SRP 스크랩점수,True,72,717,0.8897,0.9228,0.9209,0.9729,0.000287,-0.288,0.373,3P,O,O,0.288
sales_score,SRP 월판매점수,True,72,717,0.6222,0.6232,0.6711,0.67,1e-06,-0.666,0.327,3P,O,O,0.666
card_score,SRP 장바구니점수,True,72,717,0.6133,0.6044,0.735,0.7433,0.0,-0.73,0.306,3P,O,O,0.73
cancel_rate,취소율(낮을수록 좋음),False,76,718,0.1211,0.1204,0.0657,0.0559,0.0,1.128,0.261,3P,O,O,1.128
spv_score,SRP 전환력점수,True,72,717,0.013,0.0102,0.0286,0.0219,0.0,-0.744,0.219,3P,O,O,0.744
review_score,SRP 리뷰점수,True,72,717,0.5169,0.4949,0.7324,0.7469,0.0,-1.213,0.194,3P,O,O,1.213
