product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
4033595,1,생활용품,욕실잡화,12900.0,95,1,94,93,1277100,94,94,0,93,1,0.010416666666666666,1.0,0.010752688172043012,0.23341604631927218,1.0,0.7721027479091995
3764904,1,패브릭,담요,15900.0,323,17,298,286,7555800,307,307,0,286,12,0.05,1.0,0.04195804195804196,0.9090909090909091,1.0,0.6418746268656716
3752130,1,가구,입식화장대,430000.0,206,34,121,108,57840000,0,0,0,108,12,0.14166666666666666,,0.1111111111111111,1.0,,0.5169815112540193
2957725,1,가구,입식화장대,129900.0,220,30,109,102,24287200,0,0,0,102,5,0.12,,0.049019607843137254,0.4058823529411764,,0.6079849946409432
2591870,1,가구,책장/책꽂이,69000.0,341,45,338,319,50117000,0,0,0,319,17,0.11658031088082901,,0.05329153605015674,0.5329153605015674,,0.3813931026326839
3652512,1,가구,책장/책꽂이,129000.0,71,9,45,45,8954000,0,0,0,45,0,0.1125,,0.0,0.0,,0.40756588434019525
3687421,1,가구,책장/책꽂이,139000.0,44,7,44,40,9975900,0,0,0,40,4,0.13725490196078433,,0.1,1.0,,0.2487778252600461
2086290,1,가구,책장/책꽂이,119900.0,29,5,27,26,3587100,0,0,0,26,1,0.14705882352941177,,0.038461538461538464,0.38461538461538464,,0.18589146522830402
3640320,1,패브릭,베개/베개솜,9900.0,882,47,613,585,13821200,831,815,4,585,26,0.05059203444564048,0.9951159951159951,0.044444444444444446,0.7052266020977495,0.9804008796256859,0.038470456170761724
3918631,1,패브릭,베개/베개솜,9900.0,319,12,295,286,4967100,306,302,1,286,9,0.03625377643504532,0.9966996699669967,0.03146853146853147,0.41635677640809104,0.9867560399450797,0.3554521912256583
3640153,1,패브릭,베개/베개솜,12900.0,222,3,163,159,4313800,217,217,0,159,4,0.013333333333333334,1.0,0.025157232704402517,0.27585461850570936,1.0,0.8621638027226065
1089824,1,가구,본넬스프링매트리스,109000.0,1615,155,1246,1187,270277600,0,0,0,1187,51,0.08757062146892655,,0.04296545914069082,0.39528222409435554,,0.3977401129943504
3395897,1,가구,사이드테이블,350000.0,58,11,58,54,20300000,0,0,0,54,4,0.15942028985507245,,0.07407407407407407,0.8240740740740741,,0.0434782608695653
3395883,1,가구,사이드테이블,250000.0,22,3,22,22,5500000,0,0,0,22,0,0.12,,0.0,0.0,,0.28
3164222,1,가구,사이드테이블,190000.0,21,1,21,20,3990000,0,0,0,20,1,0.045454545454545456,,0.05,0.55625,,0.7272727272727273
